v1,v2,Label
ham,"Wait that's still not all that clear, were you not sure about me being sarcastic or that that's why x doesn't want to live with us",FALSE
ham,Yeah he got in at 2 and was v apologetic. n had fallen out and she was actin like spoilt child and he got caught up in that. Till 2! But we won't go there! Not doing too badly cheers. You?,FALSE
ham,K tell me anything about you.,FALSE
ham,For fear of fainting with the of all that housework you just did? Quick have a cuppa,FALSE
spam,Thanks for your subscription to Ringtone UK your mobile will be charged å£5/month Please confirm by replying YES or NO. If you reply NO you will not be charged,TRUE
ham,Yup... Ok i go home look at the timings then i msg Ì_ again... Xuhui going to learn on 2nd may too but her lesson is at 8am,FALSE
ham,"Oops, I'll let you know when my roommate's done",FALSE
ham,I see the letter B on my car,FALSE
ham,Anything lor... U decide...,FALSE
ham,Hello! How's you and how did saturday go? I was just texting to see if you'd decided to do anything tomo. Not that i'm trying to invite myself or anything!,FALSE
ham,Pls go ahead with watts. I just wanted to be sure. Do have a great weekend. Abiola,FALSE
ham,"Did I forget to tell you ? I want you , I need you, I crave you ... But most of all ... I love you my sweet Arabian steed ... Mmmmmm ... Yummy",FALSE
spam,07732584351 - Rodger Burns - MSG = We tried to call you re your reply to our sms for a free nokia mobile + free camcorder. Please call now 08000930705 for delivery tomorrow,TRUE
ham,WHO ARE YOU SEEING?,FALSE
ham,Great! I hope you like your man well endowed. I am  &lt;#&gt;  inches...,FALSE
ham,No calls..messages..missed calls,FALSE
ham,Didn't you get hep b immunisation in nigeria.,FALSE
ham,"Fair enough, anything going on?",FALSE
ham,"Yeah hopefully, if tyler can't do it I could maybe ask around a bit",FALSE
ham,U don't know how stubborn I am. I didn't even want to go to the hospital. I kept telling Mark I'm not a weak sucker. Hospitals are for weak suckers.,FALSE
ham,What you thinked about me. First time you saw me in class.,FALSE
ham,"A gram usually runs like  &lt;#&gt; , a half eighth is smarter though and gets you almost a whole second gram for  &lt;#&gt;",FALSE
ham,K fyi x has a ride early tomorrow morning but he's crashing at our place tonight,FALSE
ham,"Wow. I never realized that you were so embarassed by your accomodations. I thought you liked it, since i was doing the best i could and you always seemed so happy about \the cave\"". I'm sorry I didn't and don't have more to give. I'm sorry i offered. I'm sorry your room was so embarassing.""",FALSE
spam,SMS. ac Sptv: The New Jersey Devils and the Detroit Red Wings play Ice Hockey. Correct or Incorrect? End? Reply END SPTV,TRUE
ham,Do you know what Mallika Sherawat did yesterday? Find out now @  &lt;URL&gt;,FALSE
spam,"Congrats! 1 year special cinema pass for 2 is yours. call 09061209465 now! C Suprman V, Matrix3, StarWars3, etc all 4 FREE! bx420-ip4-5we. 150pm. Dont miss out!",TRUE
ham,"Sorry, I'll call later in meeting.",FALSE
ham,Tell where you reached,FALSE
ham,Yes..gauti and sehwag out of odi series.,FALSE
ham,Your gonna have to pick up a $1 burger for yourself on your way home. I can't even move. Pain is killing me.,FALSE
ham,Ha ha ha good joke. Girls are situation seekers.,FALSE
ham,Its a part of checking IQ,FALSE
ham,"Sorry my roommates took forever, it ok if I come by now?",FALSE
ham,Ok lar i double check wif da hair dresser already he said wun cut v short. He said will cut until i look nice.,FALSE
spam,"As a valued customer, I am pleased to advise you that following recent review of your Mob No. you are awarded with a å£1500 Bonus Prize, call 09066364589",TRUE
ham,"Today is \song dedicated day..\"" Which song will u dedicate for me? Send this to all ur valuable frnds but first rply me...""",FALSE
spam,"Urgent UR awarded a complimentary trip to EuroDisinc Trav, Aco&Entry41 Or å£1000. To claim txt DIS to 87121 18+6*å£1.50(moreFrmMob. ShrAcomOrSglSuplt)10, LS1 3AJ",TRUE
spam,"Did you hear about the new \Divorce Barbie\""? It comes with all of Ken's stuff!""",TRUE
ham,I plane to give on this month end.,FALSE
ham,Wah lucky man... Then can save money... Hee...,FALSE
ham,Finished class where are you.,FALSE
ham,HI BABE IM AT HOME NOW WANNA DO SOMETHING? XX,FALSE
ham,K..k:)where are you?how did you performed?,FALSE
ham,U can call me now...,FALSE
ham,I am waiting machan. Call me once you free.,FALSE
ham,Thats cool. i am a gentleman and will treat you with dignity and respect.,FALSE
ham,I like you peoples very much:) but am very shy pa.,FALSE
ham,Does not operate after  &lt;#&gt;  or what,FALSE
ham,Its not the same here. Still looking for a job. How much do Ta's earn there.,FALSE
ham,"Sorry, I'll call later",FALSE
ham,K. Did you call me just now ah? ,FALSE
ham,Ok i am on the way to home hi hi,FALSE
ham,You will be in the place of that man,FALSE
ham,Yup next stop.,FALSE
ham,"I call you later, don't have network. If urgnt, sms me.",FALSE
ham,For real when u getting on yo? I only need 2 more tickets and one more jacket and I'm done. I already used all my multis.,FALSE
ham,Yes I started to send requests to make it but pain came back so I'm back in bed. Double coins at the factory too. I gotta cash in all my nitros.,FALSE
ham,I'm really not up to it still tonight babe,FALSE
ham,"Ela kano.,il download, come wen ur free..",FALSE
ham,Yeah do! Don‰Û÷t stand to close tho- you‰Û÷ll catch something!,FALSE
ham,Sorry to be a pain. Is it ok if we meet another night? I spent late afternoon in casualty and that means i haven't done any of y stuff42moro and that includes all my time sheets and that. Sorry.,FALSE
ham,Smile in Pleasure Smile in Pain Smile when trouble pours like Rain Smile when sum1 Hurts U Smile becoz SOMEONE still Loves to see u Smiling!!,FALSE
spam,Please call our customer service representative on 0800 169 6031 between 10am-9pm as you have WON a guaranteed å£1000 cash or å£5000 prize!,TRUE
ham,Havent planning to buy later. I check already lido only got 530 show in e afternoon. U finish work already?,FALSE
spam,"Your free ringtone is waiting to be collected. Simply text the password \MIX\"" to 85069 to verify. Get Usher and Britney. FML",TRUE
ham,Watching telugu movie..wat abt u?,FALSE
ham,i see. When we finish we have loads of loans to pay,FALSE
ham,"Hi. Wk been ok - on hols now! Yes on for a bit of a run. Forgot that i have hairdressers appointment at four so need to get home n shower beforehand. Does that cause prob for u?\""ham""",FALSE
ham,Please don't text me anymore. I have nothing else to say.,FALSE
ham,Okay name ur price as long as its legal! Wen can I pick them up? Y u ave x ams xx,FALSE
ham,I'm still looking for a car to buy. And have not gone 4the driving test yet.,FALSE
ham,As per your request 'Melle Melle (Oru Minnaminunginte Nurungu Vettam)' has been set as your callertune for all Callers. Press *9 to copy your friends Callertune,FALSE
ham,"wow. You're right! I didn't mean to do that. I guess once i gave up on boston men and changed my search location to nyc, something changed. Cuz on my signin page it still says boston.",FALSE
ham,Umma my life and vava umma love you lot dear,FALSE
ham,Thanks a lot for your wishes on my birthday. Thanks you for making my birthday truly memorable.,FALSE
ham,"Aight, I'll hit you up when I get some cash",FALSE
ham,How would my ip address test that considering my computer isn't a minecraft server,FALSE
ham,I know! Grumpy old people. My mom was like you better not be lying. Then again I am always the one to play jokes...,FALSE
ham,Dont worry. I guess he's busy.,FALSE
ham,What is the plural of the noun research?,FALSE
ham,Going for dinner.msg you after.,FALSE
ham,I'm ok wif it cos i like 2 try new things. But i scared u dun like mah. Cos u said not too loud.,FALSE
spam,GENT! We are trying to contact you. Last weekends draw shows that you won a å£1000 prize GUARANTEED. Call 09064012160. Claim Code K52. Valid 12hrs only. 150ppm,TRUE
ham,"Wa, ur openin sentence very formal... Anyway, i'm fine too, juz tt i'm eatin too much n puttin on weight...Haha... So anythin special happened?",FALSE
ham,"As I entered my cabin my PA said, '' Happy B'day Boss !!''. I felt special. She askd me 4 lunch. After lunch she invited me to her apartment. We went there.",FALSE
spam,You are a winner U have been specially selected 2 receive å£1000 or a 4* holiday (flights inc) speak to a live operator 2 claim 0871277810910p/min (18+),TRUE
ham,Goodo! Yes we must speak friday - egg-potato ratio for tortilla needed! ,FALSE
ham,Hmm...my uncle just informed me that he's paying the school directly. So pls buy food.,FALSE
spam,PRIVATE! Your 2004 Account Statement for 07742676969 shows 786 unredeemed Bonus Points. To claim call 08719180248 Identifier Code: 45239 Expires,TRUE
spam,"URGENT! Your Mobile No. was awarded å£2000 Bonus Caller Prize on 5/9/03 This is our final try to contact U! Call from Landline 09064019788 BOX42WR29C, 150PPM",TRUE
ham,here is my new address -apples&pairs&all that malarky,FALSE
spam,Todays Voda numbers ending 7548 are selected to receive a $350 award. If you have a match please call 08712300220 quoting claim code 4041 standard rates app,TRUE
ham,I am going to sao mu today. Will be done only at 12,FALSE
ham,ÌÏ predict wat time Ì_'ll finish buying?,FALSE
ham,"Good stuff, will do.",FALSE
ham,"Just so that you know,yetunde hasn't sent money yet. I just sent her a text not to bother sending. So its over, you dont have to involve yourself in anything. I shouldn't have imposed anything on you in the first place so for that, i apologise.",FALSE
ham,Are you there in room.,FALSE
ham,HEY GIRL. HOW R U? HOPE U R WELL ME AN DEL R BAK! AGAIN LONG TIME NO C! GIVE ME A CALL SUM TIME FROM LUCYxx,FALSE
ham,K..k:)how much does it cost?,FALSE
ham,I'm home.,FALSE
ham,"Dear, will call Tmorrow.pls accomodate.",FALSE
ham,First answer my question.,FALSE
spam,Sunshine Quiz Wkly Q! Win a top Sony DVD player if u know which country the Algarve is in? Txt ansr to 82277. å£1.50 SP:Tyrone,TRUE
spam,Want 2 get laid tonight? Want real Dogging locations sent direct 2 ur mob? Join the UK's largest Dogging Network bt Txting GRAVEL to 69888! Nt. ec2a. 31p.msg@150p,TRUE
ham,I only haf msn. It's yijue@hotmail.com,FALSE
ham,He is there. You call and meet him,FALSE
ham,No no. I will check all rooms befor activities,FALSE
spam,You'll not rcv any more msgs from the chat svc. For FREE Hardcore services text GO to: 69988 If u get nothing u must Age Verify with yr network & try again,TRUE
ham,Got c... I lazy to type... I forgot Ì_ in lect... I saw a pouch but like not v nice...,FALSE
ham,"K, text me when you're on the way",FALSE
ham,"Sir, Waiting for your mail.",FALSE
ham,"A swt thought: \Nver get tired of doing little things 4 lovable persons..\"" Coz..somtimes those little things occupy d biggest part in their Hearts.. Gud ni8""",FALSE
ham,I know you are. Can you pls open the back?,FALSE
ham,Yes see ya not on the dot,FALSE
ham,Whats the staff name who is taking class for us?,FALSE
spam,"FreeMsg Why haven't you replied to my text? I'm Randy, sexy, female and live local. Luv to hear from u. Netcollex Ltd 08700621170150p per msg reply Stop to end",TRUE
ham,Ummma.will call after check in.our life will begin from qatar so pls pray very hard.,FALSE
ham,K..i deleted my contact that why?,FALSE
ham,Sindu got job in birla soft ..,FALSE
ham,The wine is flowing and i'm i have nevering..,FALSE
ham,Yup i thk cine is better cos no need 2 go down 2 plaza mah.,FALSE
ham,Ok... Ur typical reply...,FALSE
ham,As per your request 'Melle Melle (Oru Minnaminunginte Nurungu Vettam)' has been set as your callertune for all Callers. Press *9 to copy your friends Callertune,FALSE
ham,"You are everywhere dirt, on the floor, the windows, even on my shirt. And sometimes when i open my mouth, you are all that comes flowing out. I dream of my world without you, then half my chores are out too. A time of joy for me, lots of tv shows i.ll see. But i guess like all things you just must exist, like rain, hail and mist, and when my time here is done, you and i become one.",FALSE
ham,Aaooooright are you at work?,FALSE
ham,I'm leaving my house now...,FALSE
ham,"Hello, my love. What are you doing? Did you get to that interview today? Are you you happy? Are you being a good boy? Do you think of me?Are you missing me ?",FALSE
spam,Customer service annoncement. You have a New Years delivery waiting for you. Please call 07046744435 now to arrange delivery,TRUE
spam,You are a winner U have been specially selected 2 receive å£1000 cash or a 4* holiday (flights inc) speak to a live operator 2 claim 0871277810810,TRUE
ham,Keep yourself safe for me because I need you and I miss you already and I envy everyone that see's you in real life,FALSE
ham,New car and house for my parents.:)i have only new job in hand:),FALSE
ham,I'm so in love with you. I'm excited each day i spend with you. You make me so happy.,FALSE
spam,-PLS STOP bootydelious (32/F) is inviting you to be her friend. Reply YES-434 or NO-434 See her: www.SMS.ac/u/bootydelious STOP? Send STOP FRND to 62468,TRUE
spam,"BangBabes Ur order is on the way. U SHOULD receive a Service Msg 2 download UR content. If U do not, GoTo wap. bangb. tv on UR mobile internet/service menu",TRUE
ham,I place all ur points on e cultures module already.,FALSE
spam,URGENT! We are trying to contact you. Last weekends draw shows that you have won a å£900 prize GUARANTEED. Call 09061701939. Claim code S89. Valid 12hrs only,TRUE
ham,"Hi frnd, which is best way to avoid missunderstding wit our beloved one's?",FALSE
ham,Great escape. I fancy the bridge but needs her lager. See you tomo ,FALSE
ham,Yes :)it completely in out of form:)clark also utter waste.,FALSE
ham,"Sir, I need AXIS BANK account no and bank address.",FALSE
ham,"Hmmm.. Thk sure got time to hop ard... Ya, can go 4 free abt... Muz call u to discuss liao...",FALSE
ham,What time you coming down later? ,FALSE
ham,"Bloody hell, cant believe you forgot my surname Mr . Ill give u a clue, its spanish and begins with m... ",FALSE
ham,"Well, i'm gonna finish my bath now. Have a good...fine night.",FALSE
ham,Let me know when you've got the money so carlos can make the call,FALSE
ham,U still going to the mall?,FALSE
ham,"Turns out my friends are staying for the whole show and won't be back til ~ &lt;#&gt; , so feel free to go ahead and smoke that $ &lt;#&gt;  worth",FALSE
ham,Text her. If she doesnt reply let me know so i can have her log in,FALSE
ham,Hi! You just spoke to MANEESHA V. We'd like to know if you were satisfied with the experience. Reply Toll Free with Yes or No.,FALSE
ham,You lifted my hopes with the offer of money. I am in need. Especially when the end of the month approaches and it hurts my studying. Anyways have a gr8 weekend,FALSE
ham,Lol no. U can trust me.,FALSE
ham,ok. I am a gentleman and will treat you with dignity and respect.,FALSE
ham,"He will, you guys close?",FALSE
ham,Going on nothing great.bye,FALSE
ham,Hello handsome ! Are you finding that job ? Not being lazy ? Working towards getting back that net for mummy ? Where's my boytoy now ? Does he miss me ?,FALSE
ham,"Haha awesome, be there in a minute",FALSE
spam,Please call our customer service representative on FREEPHONE 0808 145 4742 between 9am-11pm as you have WON a guaranteed å£1000 cash or å£5000 prize!,TRUE
ham,Have you got Xmas radio times. If not i will get it now,FALSE
ham,I jus reached home. I go bathe first. But my sis using net tell u when she finishes k...,FALSE
spam,Are you unique enough? Find out from 30th August. www.areyouunique.co.uk,TRUE
ham,I'm sorry. I've joined the league of people that dont keep in touch. You mean a great deal to me. You have been a friend at all times even at great personal cost. Do have a great week.|,FALSE
ham,Hi :)finally i completed the course:),FALSE
ham,It will stop on itself. I however suggest she stays with someone that will be able to give ors for every stool.,FALSE
ham,How are you doing? Hope you've settled in for the new school year. Just wishin you a gr8 day,FALSE
ham,Gud mrng dear hav a nice day,FALSE
ham,Did u got that persons story,FALSE
ham,is your hamster dead? Hey so tmr i meet you at 1pm orchard mrt?,FALSE
ham,Hi its Kate how is your evening? I hope i can see you tomorrow for a bit but i have to bloody babyjontet! Txt back if u can. :) xxx,FALSE
ham,"Found it, ENC  &lt;#&gt; , where you at?",FALSE
ham,I sent you  &lt;#&gt;  bucks,FALSE
ham,Hello darlin ive finished college now so txt me when u finish if u can love Kate xxx,FALSE
ham,Your account has been refilled successfully by INR  &lt;DECIMAL&gt; . Your KeralaCircle prepaid account balance is Rs  &lt;DECIMAL&gt; . Your Transaction ID is KR &lt;#&gt; .,FALSE
ham,Goodmorning sleeping ga.,FALSE
ham,U call me alter at 11 ok.,FALSE
ham,ÌÏ say until like dat i dun buy ericsson oso cannot oredi lar...,FALSE
ham,"As I entered my cabin my PA said, '' Happy B'day Boss !!''. I felt special. She askd me 4 lunch. After lunch she invited me to her apartment. We went there.",FALSE
ham,"Aight yo, dats straight dogg",FALSE
ham,You please give us connection today itself before  &lt;DECIMAL&gt;  or refund the bill,FALSE
ham,Both :) i shoot big loads so get ready!,FALSE
ham,"What's up bruv, hope you had a great break. Do have a rewarding semester.",FALSE
ham,Home so we can always chat,FALSE
ham,K:)k:)good:)study well.,FALSE
ham,Yup... How Ì_ noe leh...,FALSE
ham,Sounds great! Are you home now?,FALSE
ham,Finally the match heading towards draw as your prediction.,FALSE
ham,Tired. I haven't slept well the past few nights.,FALSE
ham,Easy ah?sen got selected means its good..,FALSE
ham,I have to take exam with march 3,FALSE
ham,Yeah you should. I think you can use your gt atm now to register. Not sure but if there's anyway i can help let me know. But when you do be sure you are ready.,FALSE
ham,Ok no prob. Take ur time.,FALSE
ham,There is os called ubandu which will run without installing in hard disk...you can use that os to copy the important files in system and give it to repair shop..,FALSE
ham,"Sorry, I'll call later",FALSE
ham,U say leh... Of course nothing happen lar. Not say v romantic jus a bit only lor. I thk e nite scenery not so nice leh.,FALSE
spam,"500 New Mobiles from 2004, MUST GO! Txt: NOKIA to No: 89545 & collect yours today!From ONLY å£1 www.4-tc.biz 2optout 087187262701.50gbp/mtmsg18",TRUE
ham,Would really appreciate if you call me. Just need someone to talk to.,FALSE
spam,"Will u meet ur dream partner soon? Is ur career off 2 a flyng start? 2 find out free, txt HORO followed by ur star sign, e. g. HORO ARIES",TRUE
ham,Hey company elama po mudyadhu.,FALSE
ham,"Life is more strict than teacher... Bcoz Teacher teaches lesson &amp; then conducts exam, But Life first conducts Exam &amp; then teaches Lessons. Happy morning. . .",FALSE
ham,Dear good morning now only i am up,FALSE
ham,Get down in gandhipuram and walk to cross cut road. Right side &lt;#&gt; street road and turn at first right.,FALSE
ham,Dear we are going to our rubber place,FALSE
ham,"Sorry battery died, yeah I'm here",FALSE
ham,Yes:)here tv is always available in work place..,FALSE
spam,Text & meet someone sexy today. U can find a date or even flirt its up to U. Join 4 just 10p. REPLY with NAME & AGE eg Sam 25. 18 -msg recd@thirtyeight pence,TRUE
ham,I have printed it oh. So  &lt;#&gt;  come upstairs,FALSE
ham,Or ill be a little closer like at the bus stop on the same street,FALSE
ham,Where are you?when wil you reach here?,FALSE
ham,"New Theory: Argument wins d SITUATION, but loses the PERSON. So dont argue with ur friends just.. . . . kick them &amp; say, I'm always correct.!",FALSE
spam,U 447801259231 have a secret admirer who is looking 2 make contact with U-find out who they R*reveal who thinks UR so special-call on 09058094597,TRUE
ham,Tomarrow final hearing on my laptop case so i cant.,FALSE
ham,PLEASSSSSSSEEEEEE TEL ME V AVENT DONE SPORTSx,FALSE
ham,"Okay. No no, just shining on. That was meant to be signing, but that sounds better.",FALSE
ham,"Although i told u dat i'm into baig face watches now but i really like e watch u gave cos it's fr u. Thanx 4 everything dat u've done today, i'm touched...",FALSE
ham,U don't remember that old commercial?,FALSE
ham,Too late. I said i have the website. I didn't i have or dont have the slippers,FALSE
ham,I asked you to call him now ok,FALSE
ham,Kallis wont bat in 2nd innings.,FALSE
ham,It didnt work again oh. Ok goodnight then. I.ll fix and have it ready by the time you wake up. You are very dearly missed have a good night sleep.,FALSE
spam,Congratulations ur awarded 500 of CD vouchers or 125gift guaranteed & Free entry 2 100 wkly draw txt MUSIC to 87066 TnCs www.Ldew.com1win150ppmx3age16,TRUE
ham,Ranjith cal drpd Deeraj and deepak 5min hold,FALSE
ham,"Wen ur lovable bcums angry wid u, dnt take it seriously.. Coz being angry is d most childish n true way of showing deep affection, care n luv!.. kettoda manda... Have nice day da.",FALSE
ham,What you doing?how are you?,FALSE
ham,"Ups which is 3days also, and the shipping company that takes 2wks. The other way is usps which takes a week but when it gets to lag you may have to bribe nipost to get your stuff.",FALSE
ham,"I'm back, lemme know when you're ready",FALSE
ham,Don't necessarily expect it to be done before you get back though because I'm just now headin out,FALSE
ham,Mmm so yummy babe ... Nice jolt to the suzy,FALSE
ham,Where are you lover ? I need you ...,FALSE
spam,We tried to contact you re your reply to our offer of a Video Handset? 750 anytime networks mins? UNLIMITED TEXT? Camcorder? Reply or call 08000930705 NOW,TRUE
ham,I‰Û÷m parked next to a MINI!!!! When are you coming in today do you think?,FALSE
ham,Yup,FALSE
ham,Anyway i'm going shopping on my own now. Cos my sis not done yet. Dun disturb u liao.,FALSE
ham,MY NO. IN LUTON 0125698789 RING ME IF UR AROUND! H*,FALSE
spam,Hey I am really horny want to chat or see me naked text hot to 69698 text charged at 150pm to unsubscribe text stop 69698,TRUE
ham,Why you Dint come with us.,FALSE
ham,Same. Wana plan a trip sometme then,FALSE
ham,"Not sure yet, still trying to get a hold of him",FALSE
spam,Ur ringtone service has changed! 25 Free credits! Go to club4mobiles.com to choose content now! Stop? txt CLUB STOP to 87070. 150p/wk Club4 PO Box1146 MK45 2WT,TRUE
ham,The evo. I just had to download flash. Jealous?,FALSE
spam,Ringtone Club: Get the UK singles chart on your mobile each week and choose any top quality ringtone! This message is free of charge.,TRUE
ham,"Come to mu, we're sorting out our narcotics situation",FALSE
ham,"Night has ended for another day, morning has come in a special way. May you smile like the sunny rays and leaves your worries at the blue blue bay.",FALSE
spam,HMV BONUS SPECIAL 500 pounds of genuine HMV vouchers to be won. Just answer 4 easy questions. Play Now! Send HMV to 86688 More info:www.100percent-real.com,TRUE
ham,"Usf I guess, might as well take 1 car",FALSE
ham,No objection. My bf not coming.,FALSE
ham,Thanx...,FALSE
ham,Tell rob to mack his gf in the theater,FALSE
ham,"Awesome, I'll see you in a bit",FALSE
ham,Just sent it. So what type of food do you like?,FALSE
ham,All done? All handed in? Celebrations in full swing yet?,FALSE
ham,You got called a tool?,FALSE
ham,\Wen u miss someone,FALSE
ham,Ok. I asked for money how far,FALSE
ham,Okie...,FALSE
ham,"Yeah I think my usual guy's still passed out from last night, if you get ahold of anybody let me know and I'll throw down",FALSE
ham,"K, I might come by tonight then if my class lets out early",FALSE
ham,Ok..,FALSE
ham,hi baby im cruisin with my girl friend what r u up 2? give me a call in and hour at home if thats alright or fone me on this fone now love jenny xxx,FALSE
ham,"My life Means a lot to me, Not because I love my life, But because I love the people in my life, The world calls them friends, I call them my World:-).. Ge:-)..",FALSE
ham,"Dear,shall mail tonite.busy in the street,shall update you tonite.things are looking ok.varunnathu edukkukayee raksha ollu.but a good one in real sense.",FALSE
ham,Hey you told your name to gautham ah?,FALSE
ham,Haf u found him? I feel so stupid da v cam was working.,FALSE
ham,Oops. 4 got that bit.,FALSE
ham,Are you this much buzy,FALSE
ham,I accidentally deleted the message. Resend please.,FALSE
spam,T-Mobile customer you may now claim your FREE CAMERA PHONE upgrade & a pay & go sim card for your loyalty. Call on 0845 021 3680.Offer ends 28thFeb.T&C's apply,TRUE
ham,Unless it's a situation where YOU GO GURL would be more appropriate,FALSE
ham,Hurt me... Tease me... Make me cry... But in the end of my life when i die plz keep one rose on my grave and say STUPID I MISS U.. HAVE A NICE DAY BSLVYL,FALSE
ham,I cant pick the phone right now. Pls send a message,FALSE
ham,Need a coffee run tomo?Can't believe it's that time of week already,FALSE
ham,"Awesome, I remember the last time we got somebody high for the first time with diesel :V",FALSE
ham,"Shit that is really shocking and scary, cant imagine for a second. Def up for night out. Do u think there is somewhere i could crash for night, save on taxi?",FALSE
ham,Oh and by the way you do have more food in your fridge! Want to go out for a meal tonight? ,FALSE
ham,He is a womdarfull actor,FALSE
spam,"SMS. ac Blind Date 4U!: Rodds1 is 21/m from Aberdeen, United Kingdom. Check Him out http://img. sms. ac/W/icmb3cktz8r7!-4 no Blind Dates send HIDE",TRUE
ham,Yup... From what i remb... I think should be can book... ,FALSE
ham,Jos ask if u wana meet up?,FALSE
ham,Lol yes. Our friendship is hanging on a thread cause u won't buy stuff.,FALSE
spam,"TheMob> Check out our newest selection of content, Games, Tones, Gossip, babes and sport, Keep your mobile fit and funky text WAP to 82468",TRUE
ham,Where are the garage keys? They aren't on the bookshelf,FALSE
ham,Today is ACCEPT DAY..U Accept me as? Brother Sister Lover Dear1 Best1 Clos1 Lvblefrnd Jstfrnd Cutefrnd Lifpartnr Belovd Swtheart Bstfrnd No rply means enemy,FALSE
spam,"Think ur smart ? Win å£200 this week in our weekly quiz, text PLAY to 85222 now!T&Cs WinnersClub PO BOX 84, M26 3UZ. 16+. GBP1.50/week",TRUE
ham,He says he'll give me a call when his friend's got the money but that he's definitely buying before the end of the week,FALSE
ham,"Hi the way I was with u 2day, is the normal way&this is the real me. UR unique&I hope I know u 4 the rest of mylife. Hope u find wot was lost.",FALSE
ham,You made my day. Do have a great day too.,FALSE
ham,K.k:)advance happy pongal.,FALSE
ham,"Hmmm... Guess we can go 4 kb n power yoga... Haha, dunno we can tahan power yoga anot... Thk got lo oso, forgot liao...",FALSE
ham,"Not really dude, have no friends i'm afraid :(",FALSE
spam,December only! Had your mobile 11mths+? You are entitled to update to the latest colour camera mobile for Free! Call The Mobile Update Co FREE on 08002986906,TRUE
ham,"Coffee cake, i guess...",FALSE
ham,"Merry Christmas to you too babe, i love ya *kisses*",FALSE
ham,Hey... Why dont we just go watch x men and have lunch... Haha ,FALSE
ham,cud u tell ppl im gona b a bit l8 cos 2 buses hav gon past cos they were full & im still waitin 4 1. Pete x,FALSE
ham,That would be great. We'll be at the Guild. Could meet on Bristol road or somewhere - will get in touch over weekend. Our plans take flight! Have a good week,FALSE
ham,No problem. How are you doing?,FALSE
ham,No calls..messages..missed calls,FALSE
ham,Hi da:)how is the todays class?,FALSE
ham,"I'd say that's a good sign but, well, you know my track record at reading women",FALSE
ham,"Cool, text me when you're parked",FALSE
ham,I'm reading the text i just sent you. Its meant to be a joke. So read it in that light,FALSE
ham,K.k:)apo k.good movie.,FALSE
ham,Maybe i could get book out tomo then return it immediately ..? Or something.,FALSE
